#{"t_start": 1732330976.2654402, "env_id": null}
r,l,t,level
-24324.329108,12053,1558.673723,1
1680.465671,20864,3964.733211,1
1370.080751,35712,8119.290835,1
-633.629368,9277,9186.639348,1
-2916.746752,1409,9350.331376,1
-635.548088,1711,9552.355486,1
-4356.309457,1458,9722.407931,1
-18942.792737,6616,10456.714545,1
-8423.483836,2307,10710.447323,1
305.244904,7241,11521.581535,1
