#{"t_start": 1733481583.849277, "env_id": null}
r,l,t
-10365.035577,32723,9536.763527
-479.435577,4237,10186.285897
-365.840385,3826,10774.803634
-2355.160577,19503,13860.063083
-376.447115,4120,14578.179114
-905.624038,7781,15953.60167
-45444.977885,23463,20653.003119
-1511.294231,4714,21557.61906
-6865.879808,29810,26443.380003
-3617.148077,9566,27962.903655
-901.828846,11063,29783.09659
-2331.339423,19847,33181.610726
2125.045192,24217,37459.98502
5151.067308,12495,40072.46193
693.568269,1131,40371.13024
7749.582692,16891,45294.328042
552.352885,847,45529.292055
831.948077,1211,45874.143641
3802.779808,5911,47567.662942
3982.681731,5994,49233.696546
4183.032692,5489,50747.801319
2425.975,5024,52188.024215
