#{"t_start": 1733481583.7422519, "env_id": null}
r,l,t
-7766.783654,30980,9036.487536
-1318.714423,13692,11380.614235
-992.533654,10655,13049.122958
-50680.105769,41090,20802.083781
-4918.063462,19474,24172.220417
-5378.892308,38782,30478.97535
-243.301923,4771,31285.775159
-2467.261538,26453,35745.207581
421.453846,2367,36193.947363
325.222115,4086,36981.26063
152.921154,3258,37602.554952
600.605769,1155,37827.490838
3922.988462,10978,40172.370106
5486.495192,10820,43289.271724
722.880769,941,43562.637861
8421.228846,16758,48376.631241
587.969231,748,48583.795248
834.002885,983,48852.619652
3894.686538,5364,50337.237728
4054.980769,5120,51780.280541
