#{"t_start": 1733481583.7588623, "env_id": null}
r,l,t
-11736.697115,15035,4436.720336
-1567.952885,8909,7007.14127
-884.7875,6296,8821.91123
-4303.576923,32850,14351.927266
-873.453846,5743,15357.224389
-50270.826923,33550,21935.21401
-3948.959615,14257,24295.048913
-1293.524038,6400,25315.760792
-4204.035577,16688,27960.480408
-3588.772115,8062,29241.302585
-1498.875,19805,32670.028425
289.497115,2592,33098.996848
909.593269,15192,35647.190939
4706.958654,18442,39212.492548
707.257692,998,39404.410703
7821.592308,18251,44627.790052
553.947115,780,44850.487907
677.689423,1192,45194.162241
3814.203846,6217,46966.890905
3980.5,5915,48630.011256
4183.703846,5347,50107.232758
