#{"t_start": 1732697853.347469, "env_id": null}
r,l,t,level
-19526.749767,49565,38473.417982,1
-129.704368,3268,40539.221808,1
55.979069,2891,42394.770116,1
257.706871,6819,47370.240447,1
-830.131245,20646,55709.570035,1
338.490465,11387,56979.113736,1
-497.610779,11968,62192.067297,1
-131.792516,2938,63505.259411,1
9.455869,2068,64490.331042,1
184.378224,1541,65255.408126,1
114.542901,1105,65798.207552,1
111.137566,1749,66675.887201,1
1275.846176,8399,71220.222425,1
1606.585085,8811,76842.91604,1
259.430885,966,77251.07335,1
-5084.930234,42637,103090.532074,1
179.728253,1018,103247.232466,1
248.773141,1549,103475.560924,1
-5217.221982,10166,105127.079923,1
