#{"t_start": 1732863675.894851, "env_id": null}
r,l,t,level
-7902.629808,16800,3347.519346,1
-3730.355288,25853,5428.382001,1
-854.287019,8774,6146.149057,1
-482.112981,9045,7032.995756,1
-1193.120192,14265,8387.015625,1
-8752.972115,24254,10712.545509,1
-1001.821154,12951,11848.281317,1
-2293.631731,22318,13610.36436,1
-148.851923,4284,13949.225235,1
-151.164904,4831,14337.064597,1
-193.797596,4543,14696.161424,1
42.151442,2970,14931.407387,1
984.795192,12617,16137.964821,1
623.362981,10885,17600.957181,1
261.908173,967,17677.722261,1
2819.16875,18343,21332.528598,1
182.320192,1063,21416.96095,1
266.215385,1419,21531.214934,1
