#{"t_start": 1733481328.3733537, "env_id": null}
r,l,t
-4092.257692,52022,13841.860573
538.249038,1464,14072.312176
784.438462,2021,14388.766232
3021.495192,14950,16719.142948
3897.273077,6899,17897.637021
4029.318269,7111,19164.756428
2249.406731,4798,20091.663852
546.064423,982,20308.431943
555.320192,993,20529.002212
708.277885,1219,20802.010738
515.935577,878,20996.549296
628.351923,1181,21264.878129
4187.408654,6225,22840.478112
5760.836538,8365,25176.620728
727.024038,1140,25504.283542
8524.053846,13936,29468.500707
588.452885,921,29615.741056
847.033654,1225,29813.541173
3863.713462,5102,30621.428987
4023.181731,5724,31544.450289
4236.023077,4824,32338.717651
2482.659615,3976,33111.298259
562.338462,927,33309.865038
568.493269,818,33483.492564
734.336538,1035,33708.319224
514.181731,884,33894.510564
656.658654,950,34084.725245
4544.440385,5358,35378.348876
4650.123077,7338,37288.690251
731.533654,865,37511.550387
8738.541346,12308,40664.648683
593.070192,773,40765.74869
844.794231,1116,40911.053706
3888.246154,5686,41646.554968
3393.7625,9403,42839.699459
4254.638462,4909,43520.24575
2480.668269,3510,44146.450986
592.772115,628,44260.536005
575.131731,717,44390.04872
732.713462,892,44551.64876
521.693269,701,44678.326499
646.650962,817,44834.230445
2984.303846,5616,46277.655008
5885.2,7448,48222.749227
737.646154,757,48415.961752
8900.256731,12597,51646.679939
590.222115,706,51742.559273
861.822115,1050,51886.836972
3959.207692,5056,52552.222936
4050.635577,5671,53160.302166
4274.058654,4721,53666.093987
