#{"t_start": 1733481328.2841744, "env_id": null}
r,l,t
-4856.4,49504,13185.962402
546.057692,1380,13542.864541
806.849038,1778,13942.650274
3550.333654,9372,15383.131806
3840.802885,8005,16649.960454
4046.819231,6952,17831.559903
2059.998077,6333,18960.347684
528.245192,1095,19155.731957
535.725962,1150,19361.856529
697.082692,1306,19596.67695
492.204808,1098,19811.929919
618.100962,1305,20094.516021
4329.948077,6926,21639.245834
4752.811538,8234,23858.990736
671.203846,1752,24349.162951
8537.675962,13913,28359.612837
586.447115,800,28578.158039
849.716346,1135,28887.04281
3860.5625,5710,30038.23158
3940.257692,5733,30948.272037
4207.629808,4695,31704.362246
2463.792308,3959,32366.549575
568.369231,809,32508.56747
571.961538,735,32635.768284
745.130769,906,32818.54774
513.819231,912,33013.822852
646.308654,1091,33246.44983
4554.970192,5224,34307.6877
5849.015385,7331,36223.260582
731.810577,853,36438.317775
8794.6875,12610,39716.985687
593.023077,739,39905.908048
860.625,1065,40167.935941
3943.605769,4850,41031.088845
4071.393269,5164,41698.327141
4226.341346,4865,42316.687207
102.025962,7377,43254.674365
568.904808,721,43367.616229
573.976923,626,43469.011483
736.016346,907,43619.880009
521.140385,741,43751.990448
663.660577,762,43888.857902
4556.914423,5056,44806.737183
5909.934615,7147,46642.093797
744.047115,769,46838.991941
8939.192308,12240,50044.336436
608.489423,699,50219.37879
860.986538,991,50470.816891
3913.022115,5758,51793.276801
4088.670192,5237,52498.852607
4283.325,4593,52993.043409
2521.086538,3460,53361.64409
556.954808,793,53448.55629
575.375962,701,53522.984708
704.894231,980,53621.722493
524.507692,778,53718.468134
