#{"t_start": 1733481319.3221736, "env_id": null}
r,l,t
-29338.180288,56740,16101.025867
111.593269,1967,16402.882907
211.152404,2346,16764.95151
1038.149519,10003,18398.367913
982.723558,11280,20214.938009
1420.0375,7559,21340.505143
562.823077,7006,22438.276955
139.938942,1379,22691.409369
188.85625,968,22862.088871
202.552404,1472,23122.279059
131.6125,1262,23348.441594
224.577885,1151,23555.977662
1639.547115,7159,25069.954675
2206.404327,9348,27581.527206
283.088942,1185,27900.017328
3093.959135,15480,32071.064063
210.927885,860,32207.122041
305.657212,1391,32428.108787
1421.581731,6030,33357.687762
1451.828365,6804,34329.411891
1578.013942,5617,35056.309123
-936.774519,6217,35962.394215
187.357212,924,36115.421731
212.861058,733,36236.809819
222.270673,1264,36446.938885
160.862981,795,36581.608338
214.192788,1308,36802.965025
1793.885577,5701,38086.445823
2283.286058,8030,40094.021892
307.375962,816,40294.146283
3366.783173,13422,43613.285145
210.787981,827,43717.385998
303.65,1246,43874.786918
1390.977404,6129,44660.424987
1492.788462,5985,45399.005573
1603.06875,5169,46026.049089
878.572596,4123,46618.613471
179.704808,1073,46793.915841
202.109135,816,46928.88089
236.714423,1203,47132.969239
115.523077,1009,47302.098311
232.825962,1059,47479.30928
1772.784615,5926,48773.238291
-794.180769,8347,50873.574759
310.154808,916,51110.516173
