#{"t_start": 1733481319.2683895, "env_id": null}
r,l,t
-8947.653365,16198,4669.161189
-1316.970673,16208,9208.023941
-12.655288,4591,10514.854264
560.997115,14907,14814.821074
972.609615,12004,17206.205199
1268.280288,9149,18736.329179
707.515385,5801,19685.845235
-116.293269,3975,20289.818233
172.171154,1098,20448.2246
168.571635,1572,20681.055829
134.948077,1221,20864.174018
173.463942,1700,21116.587706
1446.81875,9324,22595.510169
2100.967308,10516,24562.425647
292.005769,1046,24815.982249
838.182692,18460,29774.805812
208.776442,925,30019.882477
312.321635,1257,30354.693251
1402.614423,6299,32055.893087
1418.236538,7321,33205.002292
1611.091827,5338,33991.149288
913.718269,3857,34506.889539
149.885577,861,34616.989905
211.776923,753,34714.557132
226.375481,1228,34873.332848
172.181731,899,34990.596875
194.235096,1092,35134.160665
1797.3625,5807,35992.325751
2097.195673,7996,37474.710887
294.708654,977,37705.318413
3345.683654,12636,40847.634276
196.8375,1011,41103.637645
311.074038,1167,41398.110897
1404.433173,5953,42869.644198
1544.249519,5812,43960.077045
1619.702404,5413,44654.449678
866.546635,4051,45156.147951
171.437019,1077,45288.647655
197.542308,844,45391.816126
236.278365,1177,45533.47613
98.585577,1269,45685.361772
190.351923,1326,45846.154467
1813.975962,5775,46650.206644
2246.501923,8002,48075.776122
294.845192,969,48298.911888
2164.344712,16646,52549.663656
205.901442,965,52778.285426
319.423558,1083,53030.935096
