#{"t_start": 1733481319.3474195, "env_id": null}
r,l,t
-18694.645192,18589,5353.351306
-1141.373558,14494,9398.843671
34.961058,4072,10560.335416
572.314904,14910,14856.835396
1026.729808,11409,17138.916827
1204.025481,9554,18731.54719
427.002885,8538,20100.571699
111.229808,1564,20332.469119
174.835577,1154,20500.847243
185.209135,1545,20728.657468
148.210577,1079,20891.159534
180.851442,1628,21133.176124
1519.859135,8691,22498.329213
2011.3875,11343,24636.896182
290.330288,1051,24896.463718
3120.649038,14810,28883.94012
190.505769,1176,29192.804105
311.360577,1315,29537.702351
1423.284615,5881,31120.223717
1415.582692,7516,32708.512701
1608.447596,5288,33508.945208
887.426923,4354,34136.77959
167.464423,848,34249.426703
203.139904,853,34364.749732
205.567788,1533,34561.631833
181.230288,762,34659.573747
213.44375,1309,34828.386616
1826.447596,5613,35575.956056
2292.904808,8486,37004.358219
290.392788,1041,37240.443988
2936.767308,17783,41652.124649
216.065865,751,41835.351912
315.582212,1183,42123.303649
1383.054327,6589,43675.557722
1473.204808,6663,44526.685811
1632.920673,5315,45189.049375
789.217788,5259,45825.587748
142.003365,1326,45989.097663
204.996635,789,46089.219499
238.20625,1112,46231.343902
160.558654,1006,46378.613297
185.270192,1566,46627.077775
1783.939423,5962,47622.727493
2335.477885,7417,49354.20851
296.61875,1036,49614.691483
3037.465385,15099,53431.858404
