#{"t_start": 1733481319.377937, "env_id": null}
r,l,t
-18340.333654,6393,1824.915266
-825.087019,9517,4585.385944
-1093.907692,15416,8901.271466
377.55625,16676,13689.344246
790.851442,13813,16883.119485
1067.616346,11256,18738.632509
609.708654,7007,19875.444641
86.833654,1902,20162.096955
184.782212,1066,20320.438104
188.857212,1559,20549.02732
145.504808,1145,20717.186441
199.826923,1450,20933.378384
1525.070192,8563,22229.074838
2090.667788,10222,24079.61536
278.49375,1161,24291.606522
2976.401923,18098,29100.072197
207.014423,930,29339.347854
296.828846,1442,29732.182855
1337.938942,6859,31571.863754
1540.769712,5973,32727.758732
1605.167788,5417,33546.84138
904.306731,4134,34142.133528
180.330288,936,34266.801773
216.880288,683,34359.096783
225.409615,1236,34517.792123
174.340865,902,34633.620487
230.260096,1113,34777.370974
1820.594231,5668,35520.78495
2310.196154,7629,36789.414523
303.320673,941,36947.25191
2610.686058,13601,40272.922773
211.389423,815,40470.876951
309.717788,1219,40776.591385
1401.790385,5937,42260.284306
1519.720192,5959,43666.324434
1568.216827,5748,44399.896569
839.839904,4156,44924.57423
171.486058,998,45047.175855
203.365385,855,45152.633565
238.168269,1110,45289.197016
152.969712,1086,45421.162886
232.928846,1076,45551.224796
1796.324038,5987,46294.212553
1365.142308,8028,47618.070967
310.824038,802,47751.200749
2366.705769,16069,51764.6219
197.291346,1033,52041.727319
310.321635,1157,52351.708901
